cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_2
72.1617,51.9327,61.8821,58.7785,45.0,96.471,13.6796,29.6403,0.0,False
10.731,83.137,28.7597,7.6507,19.0,36.5916,7.9585,31.1133,1.0,False
60.9829,74.9933,90.799,31.1994,52.0,2.4102,30.4609,24.8243,1.0,True
55.0202,30.8953,13.4279,54.3625,25.0,55.2698,39.5834,85.5636,0.0,False
68.6611,32.8983,28.9569,27.7015,98.0,18.0277,24.0016,97.4882,0.0,False
62.8562,25.2873,20.8723,7.6563,79.0,61.953,96.5006,37.4372,0.0,False
95.6254,4.0932,21.6694,63.0112,53.0,28.9596,19.099,88.5511,1.0,False
22.1514,4.88,53.6652,54.6735,98.0,82.6117,93.0382,95.7756,0.0,False
99.7682,77.2516,71.7391,91.7449,60.0,10.5384,89.7113,32.9263,1.0,False
87.5262,6.2247,42.7826,72.058,48.0,41.5058,75.2247,44.4692,1.0,False
91.5198,20.3112,34.2003,22.0429,39.0,35.1414,49.072,98.8726,0.0,False
60.921,64.9531,63.5353,64.183,75.0,74.1646,78.4706,38.3179,0.0,False
50.1421,76.5682,27.2858,24.3372,16.0,97.0947,18.5016,61.4684,1.0,False
98.0285,77.2915,21.2649,78.725,31.0,59.1495,15.9601,35.2435,0.0,False
47.2094,89.5078,90.0004,87.2491,82.0,91.0262,97.8998,81.0904,0.0,False
7.9358,68.1928,10.3568,39.9464,85.0,36.575,17.4994,76.817,0.0,False
7.4429,38.1729,28.1646,87.5403,12.0,51.6305,12.7113,48.2616,0.0,False
57.5268,73.1279,99.0318,27.9984,78.0,71.2569,3.6832,73.6609,0.0,False
49.7581,86.1582,26.2282,37.7342,7.0,21.5014,10.4967,13.7788,0.0,False
21.8862,53.0628,13.6055,53.4683,39.0,58.2097,83.932,3.5207,1.0,False
60.0088,87.8807,94.1456,10.104,15.0,97.8203,4.1963,93.4575,0.0,False
45.027,4.7788,20.0282,15.3809,4.0,36.0508,58.2953,5.2445,1.0,False
44.6565,36.2317,65.8749,25.7323,47.0,2.4888,64.0496,62.3331,1.0,True
36.9269,35.252,81.1664,53.8974,69.0,41.3394,2.3457,19.9222,1.0,True
56.2559,13.6986,62.1224,67.5689,58.0,3.4799,75.813,20.3826,1.0,False
0.7801,31.2992,34.5755,14.9852,66.0,16.9823,20.9007,43.8691,1.0,False
74.2814,27.7893,89.4594,53.6289,39.0,74.2369,83.7671,52.8954,0.0,False
88.1807,4.5797,61.4656,85.0452,77.0,73.053,40.0715,1.0656,0.0,False
43.4475,96.1114,2.3541,62.8775,53.0,80.1921,10.5345,9.3761,1.0,False
20.0518,95.5279,1.0862,41.9574,9.0,2.6957,81.0915,2.5583,1.0,False
99.126,19.4204,89.624,96.1199,68.0,82.5743,89.3326,95.3027,1.0,False
79.4149,36.6994,10.279,62.5178,26.0,53.0819,58.4304,49.0359,1.0,False
82.8303,71.591,57.5292,85.4385,81.0,99.0133,82.4776,66.6896,1.0,False
26.691,99.9035,33.4111,30.7356,45.0,53.2247,60.0702,98.0624,1.0,True
76.0248,80.0022,75.1118,30.9025,2.0,66.1674,31.451,22.768,0.0,False
79.2278,46.6468,76.9319,27.1632,38.0,82.7781,43.1143,85.3196,1.0,False
40.3747,52.9975,0.1722,30.6904,79.0,74.6666,3.0583,50.4738,0.0,True
64.6312,5.3769,31.4101,67.7272,30.0,73.1374,87.8182,62.4254,0.0,False
27.1411,14.2161,59.2106,35.4933,77.0,65.5725,74.1354,21.3576,0.0,False
9.4221,84.6739,11.3048,65.3294,24.0,35.9328,21.1654,79.041,0.0,False
37.3423,47.0112,81.9393,5.3548,74.0,57.7864,71.2798,92.2924,1.0,False
69.1885,17.4721,52.6858,36.6879,14.0,35.8674,83.3581,77.2459,1.0,False
51.0393,51.2923,10.1266,36.9317,69.0,10.1767,26.5147,68.799,1.0,False
65.522,37.1451,13.3945,25.2234,7.0,80.2811,98.8387,74.7434,0.0,False
48.1386,72.9671,31.1173,27.3551,54.0,62.2328,27.6098,77.9061,0.0,False
38.1828,29.6431,43.1497,89.1664,90.0,85.8916,52.0554,8.8291,0.0,False
