formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_5
0.0,23.1492,0.0,3.0,2.0,31794.0779,44.0,False
0.0,6.2322,1.0,2.0,11.0,35805.6601,19.0,False
0.0,21.7165,1.0,4.0,22.0,20542.9801,84.0,False
0.0,10.944,0.0,1.0,3.0,8365.2402,93.0,False
0.0,8.0173,0.0,2.0,6.0,1963.893,56.0,False
1.0,16.947,1.0,1.0,19.0,18064.7062,88.0,False
1.0,48.0957,0.0,1.0,11.0,6303.8672,21.0,False
1.0,29.3721,1.0,4.0,6.0,20390.8109,51.0,False
0.0,19.3844,1.0,4.0,4.0,37407.0116,13.0,False
1.0,32.681,0.0,3.0,22.0,29707.3983,19.0,False
1.0,26.4925,1.0,3.0,14.0,38395.444,10.0,False
0.0,13.4571,1.0,4.0,1.0,18637.1464,50.0,False
1.0,38.3818,1.0,4.0,3.0,26493.7751,74.0,False
0.0,26.6076,0.0,4.0,7.0,13907.5821,22.0,False
0.0,15.1084,1.0,3.0,13.0,8847.4867,43.0,False
0.0,48.4144,0.0,1.0,18.0,18432.1244,71.0,False
0.0,44.704,1.0,3.0,8.0,8929.1022,79.0,False
1.0,6.1602,1.0,1.0,17.0,22363.6676,26.0,False
0.0,21.0117,1.0,3.0,15.0,11396.0601,79.0,False
1.0,49.9918,0.0,1.0,12.0,19103.0316,52.0,False
0.0,16.8719,1.0,3.0,11.0,25344.4406,8.0,False
0.0,36.1527,1.0,2.0,19.0,17627.7411,4.0,False
0.0,9.2535,0.0,3.0,0.0,26564.2734,55.0,False
0.0,47.8157,0.0,2.0,9.0,9218.127,96.0,False
0.0,11.101,1.0,4.0,6.0,17953.8197,53.0,False
0.0,25.1924,0.0,2.0,5.0,24385.7627,21.0,False
0.0,24.1751,1.0,2.0,4.0,5364.4937,90.0,False
1.0,13.9297,1.0,3.0,15.0,6219.2418,9.0,False
0.0,16.7667,0.0,2.0,9.0,8265.5107,28.0,False
1.0,26.8763,0.0,4.0,19.0,14506.5771,88.0,False
0.0,30.2607,1.0,3.0,9.0,13870.3218,45.0,False
0.0,29.4707,0.0,3.0,23.0,11255.5437,50.0,False
1.0,21.1681,1.0,2.0,21.0,27453.1026,72.0,False
1.0,44.3839,0.0,4.0,19.0,17212.6674,2.0,False
1.0,18.0511,1.0,4.0,7.0,6078.7234,25.0,False
0.0,19.9189,1.0,1.0,18.0,1707.8541,48.0,False
1.0,26.8687,1.0,4.0,1.0,28120.5584,29.0,False
1.0,35.234,1.0,2.0,19.0,3436.7642,47.0,False
0.0,19.0646,0.0,1.0,4.0,12593.295,53.0,False
0.0,17.5264,1.0,1.0,16.0,18650.3751,78.0,False
1.0,8.1786,0.0,4.0,0.0,39723.1973,70.0,False
1.0,14.9722,1.0,2.0,8.0,31439.3773,95.0,False
1.0,46.0134,1.0,4.0,5.0,12004.6081,98.0,False
0.0,23.3505,0.0,2.0,18.0,37201.5027,20.0,False
1.0,36.1226,0.0,2.0,1.0,37669.5859,35.0,False
0.0,8.1207,1.0,2.0,8.0,25675.5218,27.0,False
0.0,25.2481,0.0,2.0,20.0,2945.3679,6.0,False
0.0,28.3591,0.0,2.0,11.0,4880.4793,62.0,False
0.0,26.4752,0.0,1.0,18.0,2338.5598,85.0,False
0.0,14.8679,0.0,4.0,21.0,35400.6249,84.0,False
1.0,7.1789,1.0,1.0,16.0,20933.4984,96.0,False
0.0,10.0544,1.0,4.0,1.0,21707.2326,17.0,False
1.0,21.5308,1.0,1.0,14.0,23825.5443,10.0,False
1.0,24.936,0.0,1.0,22.0,8618.9428,16.0,False
1.0,47.6014,1.0,3.0,13.0,5832.0925,71.0,False
0.0,38.3422,1.0,1.0,14.0,38820.5979,36.0,False
0.0,26.0534,1.0,3.0,17.0,6731.1166,89.0,False
0.0,15.2741,1.0,2.0,23.0,25576.5326,8.0,False
0.0,8.9221,0.0,3.0,8.0,11136.2859,33.0,False
0.0,12.5021,0.0,2.0,6.0,16366.011,5.0,False
1.0,33.3789,1.0,4.0,1.0,34082.6312,61.0,False
0.0,40.2275,0.0,2.0,14.0,31494.345,32.0,False
0.0,28.8318,0.0,1.0,6.0,17544.0961,6.0,False
0.0,32.5823,1.0,3.0,20.0,11031.1919,95.0,False
0.0,17.8727,1.0,1.0,16.0,26609.1545,88.0,False
0.0,28.5049,0.0,1.0,16.0,1262.4285,25.0,False
1.0,7.799,0.0,1.0,16.0,15426.4962,99.0,False
1.0,39.045,0.0,4.0,1.0,15878.8328,69.0,False
0.0,19.2,0.0,4.0,4.0,18187.0906,3.0,False
0.0,43.726,0.0,1.0,14.0,22054.3065,15.0,False
0.0,5.4652,1.0,3.0,11.0,10713.2486,46.0,False
1.0,34.9293,1.0,2.0,13.0,3988.5011,29.0,False
1.0,11.1283,1.0,1.0,7.0,29271.6051,27.0,False
1.0,32.2794,0.0,4.0,23.0,34512.9873,47.0,False
1.0,25.8864,1.0,4.0,21.0,9652.6779,58.0,False
0.0,41.0555,1.0,2.0,8.0,4233.713,51.0,False
1.0,18.5243,0.0,3.0,3.0,25504.1511,63.0,False
1.0,49.6088,0.0,1.0,22.0,8790.6095,18.0,False
1.0,20.6299,1.0,4.0,3.0,16321.0887,67.0,False
1.0,31.3435,1.0,3.0,22.0,39624.5366,15.0,False
1.0,8.5354,1.0,2.0,13.0,15747.811,78.0,False
0.0,25.1198,1.0,4.0,20.0,6138.1898,5.0,False
0.0,42.5868,0.0,4.0,2.0,38262.7228,71.0,False
1.0,17.6772,1.0,1.0,11.0,5279.0977,81.0,False
1.0,22.1256,0.0,4.0,0.0,7682.3705,71.0,False
1.0,27.3488,0.0,3.0,14.0,24978.5225,65.0,False
0.0,14.5895,0.0,2.0,21.0,30139.5956,95.0,False
1.0,46.5856,1.0,1.0,19.0,1042.9761,63.0,False
0.0,7.6501,0.0,3.0,21.0,24053.8058,3.0,False
0.0,34.4907,1.0,4.0,1.0,25368.3025,44.0,False
0.0,19.4224,0.0,1.0,23.0,22370.7611,65.0,False
0.0,19.2514,0.0,1.0,19.0,13380.6227,77.0,False
0.0,26.2775,0.0,4.0,6.0,9926.2023,96.0,False
0.0,38.9342,1.0,4.0,11.0,18885.3202,83.0,False
0.0,40.0339,1.0,1.0,14.0,23696.0065,31.0,False
1.0,28.4424,1.0,4.0,2.0,20336.3245,47.0,False
1.0,7.3772,0.0,3.0,11.0,33054.9796,16.0,False
0.0,28.7548,1.0,1.0,17.0,19723.8846,76.0,False
0.0,35.8146,0.0,2.0,22.0,29163.8237,82.0,False
1.0,11.7027,1.0,1.0,10.0,10268.5224,75.0,False
1.0,8.1812,0.0,1.0,4.0,1759.1344,10.0,False
1.0,44.4783,0.0,2.0,10.0,14295.2284,98.0,False
0.0,8.7806,0.0,4.0,9.0,30479.7266,46.0,False
1.0,40.2188,1.0,2.0,3.0,8080.7891,41.0,False
1.0,46.5353,0.0,3.0,3.0,27194.3526,39.0,False
0.0,22.8201,0.0,3.0,4.0,19332.5117,32.0,False
0.0,10.3047,0.0,1.0,21.0,37233.565,71.0,False
0.0,36.2772,0.0,2.0,22.0,1754.1003,8.0,False
1.0,27.7106,0.0,1.0,7.0,2355.1852,99.0,False
0.0,48.9008,0.0,3.0,9.0,39245.1991,94.0,False
1.0,6.0471,0.0,2.0,11.0,20564.0756,67.0,False
1.0,7.0016,1.0,2.0,11.0,4694.2412,51.0,False
0.0,10.8265,0.0,2.0,18.0,21351.8955,22.0,False
0.0,43.3555,1.0,3.0,12.0,5736.9378,13.0,False
0.0,27.9355,0.0,4.0,19.0,29779.2698,8.0,False
1.0,46.3212,1.0,2.0,14.0,15892.5498,33.0,False
1.0,39.3972,0.0,1.0,12.0,21035.8701,91.0,False
1.0,7.5962,0.0,1.0,2.0,18408.0472,80.0,False
0.0,30.3785,0.0,4.0,8.0,25810.6542,64.0,False
0.0,42.3803,1.0,1.0,9.0,18822.653,83.0,False
0.0,22.1102,1.0,4.0,9.0,39541.2196,6.0,False
0.0,46.8856,1.0,4.0,7.0,23695.527,36.0,False
0.0,45.0099,0.0,4.0,16.0,33874.7793,44.0,False
1.0,18.2887,0.0,2.0,14.0,19113.9247,4.0,False
1.0,18.8037,1.0,1.0,11.0,23987.7439,97.0,False
1.0,25.9088,1.0,2.0,21.0,9143.7299,26.0,False
0.0,5.7568,1.0,4.0,19.0,20084.718,52.0,False
1.0,36.8833,1.0,3.0,6.0,9100.9776,4.0,False
1.0,21.1505,0.0,3.0,3.0,7524.2257,35.0,False
1.0,19.7063,1.0,4.0,13.0,19142.0072,91.0,False
1.0,10.8452,1.0,4.0,16.0,33629.9457,40.0,False
0.0,21.1134,0.0,1.0,5.0,16282.6195,11.0,False
1.0,29.2044,1.0,4.0,3.0,21483.3963,76.0,False
0.0,19.3343,0.0,1.0,23.0,20128.7015,29.0,False
