,custom_adaptation,custom_confidence,custom_score,score_diff,score_improvement[%],custom_time,speed-up
0,[ 0.3396 99.827  99.9967 87.686  28.     94.0161 80.7624 63.5628  1.    ],[0.37391534 0.80068751 0.96265781 0.65814705],12.829899999999952,-66.24116314954489,-0.8377421589016056,0.03999519348144531,96.60185273498975
1,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.78074606e+01
 6.00000000e+00 7.18208000e+01 7.50593000e+01 6.05977000e+01
 1.00000000e+00]",[0.86469409 0.70784431 0.93449903 0.7861121 ],13.293271717171706,-1.8799450508473683,-0.12389891211531165,0.04695916175842285,78.74971187189342
2,"[ 1.06102121 90.87620909 99.9967     84.78177576 77.          7.5391
  1.6253     80.0753      0.        ]",[0.24539445 0.94806552 0.96666193 0.57745049],25.4063363636364,-33.12473289216808,-0.5659341835598387,2.511469841003418,1.6102163991422713
3,"[ 1.06102121 90.87620909 99.9967     66.62766667 69.         53.3293
 80.054      70.5053      0.        ]",[0.78327803 0.91075036 0.63110209 0.50359447],43.560445454545516,12.358514959481624,0.3960817412062605,0.11997818946838379,29.359401858015797
4,"[ 1.06102121 90.87620909 99.9967     19.80746061 99.          2.4322
 12.8356     94.2017      1.        ]",[0.84108509 0.87609714 0.99848431 0.97383886],90.38065151515156,-2.558441895810404,-0.027528156364699824,0.7139830589294434,37.90428034950188
5,"[ 1.06102121 98.95406768 99.9967     94.86739192 45.         98.6709
  3.9151     61.8843      1.        ]",[0.11009124 0.11322813 0.18703233 0.52185465],7.242861616161576,-13.539839354730589,-0.651495653702289,0.022992610931396484,175.58107799829943
6,"[ 1.06102121 90.87620909 99.9967     68.6447899  50.         73.3268
 98.4476     89.9971      1.        ]",[0.87989255 0.69474486 0.40441379 0.66534885],41.54332222222229,24.044779525691354,1.374101829088785,0.04699993133544922,79.33758091025302
7,"[ 1.06102121 97.95406768 99.9967     84.80746061 60.          5.0044
 65.223      37.6768      0.        ]",[0.89328678 0.91842686 0.6669662  0.5375246 ],18.302792929292934,-12.538468445554713,-0.40654849661176196,0.0559544563293457,75.79803144573692
8,"[5.15000000e-02 8.48178152e+01 9.99967000e+01 2.62937636e+01
 1.00000000e+02 9.26164000e+01 5.93104000e+01 6.74570000e+00
 1.00000000e+00]",[0.4015668  0.84360742 0.8993116  0.46206713],88.94322121212122,3.182957438654114,0.037114594785549994,0.02100086212158203,186.40638481449525
9,"[ 1.06102121 90.87620909 99.9967     84.86739192 57.         36.8875
 58.619      10.06        1.        ]",[0.95790963 0.73077225 0.9918105  0.89594183],25.320720202020198,-85.79566878845282,-0.7721243424838872,0.1399528980255127,185.899583478846
10,"[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.18331455e+01
 3.20000000e+01 4.74298000e+01 7.23660000e+01 5.19463000e+01
 1.00000000e+00]",[0.96058661 0.81197037 0.99928564 0.95816439],19.267586868686863,-91.80372463678555,-0.8265295816936711,0.08798789978027344,315.85404608614596
11,"[ 1.06102121 35.82754747 99.9967     19.78177576 65.         71.5749
 16.7207     90.6924      1.        ]",[0.84977909 0.82659994 0.85273248 0.93892413],145.45499797979798,-15.921629535452041,-0.09866131038057202,4.521159648895264,6.271524071094215
12,"[15.19431818 69.6718303  73.74644747 87.86739192 37.         79.1809
 53.0692     31.1356      0.        ]",[0.59350056 0.79127822 0.6685763  0.34438825],83.90864848484841,4.332870574451363,0.054449616305733244,0.2609570026397705,14.833458653142483
13,"[ 1.06102121 98.95406768 99.9967     87.80746061 57.         91.1472
 30.0571     47.7731      1.        ]",[0.41357369 0.68503988 0.97232157 0.8355969 ],14.302792929292934,8.173839866661638,1.3336437370516303,0.028959989547729492,125.65318152255345
14,"[ 1.06102121 97.95406768 99.9967     84.80746061 54.          8.7951
 97.14       64.1799      0.        ]",[0.8650679  0.92524497 0.02125503 0.20295168],18.302792929292934,1.1775692657605532,0.0687622707239818,0.056514739990234375,68.40327370907863
15,"[ 1.06102121 90.95406768 99.9967     21.24239394 79.         86.3154
 36.3292     89.1413      1.        ]",[0.82069764 0.79946794 0.99856299 0.95859156],88.8678595959596,-22.288128304408303,-0.20051216965824414,0.05096149444580078,519.9332063925744
16,"[5.15000000e-02 9.08762091e+01 9.99967000e+01 8.78074606e+01
 6.30000000e+01 9.28676000e+01 1.87256000e+01 5.57951000e+01
 1.00000000e+00]",[0.35533173 0.81431399 0.95272064 0.69522464],21.37113030303027,15.55634094132671,2.6753060125928902,0.06699848175048828,50.84025237356412
