cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0
49.8649,94.2372,41.1279,49.4348,23.0,0.0266,84.4653,12.0781,0.0,True
70.7908,67.0582,24.4925,58.3782,83.0,64.6085,62.8489,28.3865,0.0,False
55.8065,56.6753,6.1279,87.5537,36.0,87.1536,7.0539,14.088,0.0,False
53.7043,53.3337,1.1215,33.8088,52.0,48.5117,56.0697,33.7532,0.0,False
28.1059,21.4856,27.1298,36.1534,23.0,96.6033,23.6959,0.8772,0.0,False
80.9901,3.6028,67.08,98.4063,38.0,25.8116,66.085,53.194,0.0,False
64.7801,9.6676,95.0986,51.3994,37.0,14.7673,57.8683,8.0773,1.0,True
77.1022,76.5298,63.4531,5.5014,65.0,5.0861,85.0191,32.553,0.0,False
99.6383,10.5337,31.1946,81.1177,91.0,63.599,74.4087,45.1126,1.0,False
47.6685,18.1365,67.2416,60.9226,72.0,11.7441,43.5774,75.3175,0.0,False
25.5899,84.4417,11.9756,20.8096,81.0,27.0925,62.0472,25.6558,0.0,True
75.1705,72.4055,80.7784,95.9624,67.0,50.5352,76.9351,5.4622,1.0,True
11.2772,7.0714,2.4327,15.2873,26.0,55.2691,85.5166,24.8658,0.0,False
85.9199,40.5195,83.7769,45.0445,10.0,1.1821,46.9143,85.0084,1.0,False
47.1052,5.2509,30.9349,85.0053,41.0,84.6687,15.4832,54.0202,1.0,False
76.7007,87.1254,5.5697,79.8534,46.0,7.219,50.2954,70.0551,1.0,False
94.6659,35.6224,72.1559,30.9994,36.0,37.8145,64.7503,13.1995,1.0,False
43.1081,69.5271,27.7697,78.7833,24.0,57.9363,95.7025,37.6868,1.0,True
61.1843,43.9459,13.3686,47.1105,84.0,17.0109,27.4728,32.7683,1.0,False
20.134,40.4649,16.5636,58.7764,99.0,4.7882,16.0098,46.4248,1.0,True
0.996,65.9381,13.6397,8.2114,41.0,49.0988,23.1284,72.355,0.0,False
42.6828,64.3434,89.6942,91.0768,98.0,95.9614,29.0026,3.9463,0.0,False
90.9224,68.2467,34.958,79.5986,35.0,92.3382,31.1352,35.2596,0.0,False
31.6491,3.1785,35.4877,2.811,50.0,70.7425,18.4708,82.298,1.0,False
86.2336,91.1734,77.1083,77.3821,35.0,32.5119,74.6892,96.2222,1.0,False
11.4995,78.7284,40.5712,51.9918,15.0,12.163,56.005,61.0359,0.0,True
80.0987,22.7677,13.7555,77.3083,60.0,48.8431,76.6809,43.6577,1.0,False
3.6903,63.2684,21.2968,73.3776,43.0,0.9796,93.3612,78.4255,0.0,False
49.9009,97.5961,88.9396,87.85,15.0,98.7599,15.6674,20.2891,1.0,False
15.6046,13.7581,79.0958,0.906,71.0,48.8888,49.0062,41.9591,0.0,False
98.2135,78.193,89.207,42.5145,8.0,83.4771,82.3375,13.7293,1.0,False
85.2887,32.9451,93.139,38.4768,8.0,58.4439,3.1337,91.5441,0.0,False
81.5375,32.4729,44.9946,32.9795,84.0,29.8551,67.308,19.9987,1.0,True
66.5832,35.7062,76.0681,79.3065,28.0,93.8352,26.5467,72.2601,0.0,False
94.2079,41.9528,97.0183,9.0682,41.0,59.8486,75.391,27.6205,1.0,False
45.7536,96.0231,76.5709,70.539,32.0,37.4442,96.6035,32.0011,0.0,True
28.0353,83.5255,59.0214,86.2949,58.0,85.8615,30.1243,89.0665,0.0,False
62.8405,88.9594,62.9357,7.0672,23.0,65.2745,39.075,61.0005,1.0,True
9.6582,79.0445,5.8835,93.3314,47.0,87.1836,87.9084,24.8314,1.0,False
39.7022,87.796,77.5062,38.1488,42.0,2.0324,11.8952,89.1162,0.0,True
98.5634,69.3483,21.6673,29.0889,44.0,56.3112,9.1069,98.714,1.0,False
0.278,77.4739,79.8518,52.9801,65.0,89.0862,51.0777,20.5414,0.0,False
79.4999,59.0941,87.2583,60.9852,23.0,0.4091,85.1506,72.6365,1.0,True
21.4263,6.9961,78.624,85.1239,98.0,75.5506,92.1753,95.2169,1.0,False
77.8702,25.7306,57.3368,9.7162,7.0,26.3965,34.6516,9.8162,1.0,True
21.3831,3.0035,40.2435,96.0035,56.0,13.7535,68.9859,97.4738,0.0,False
3.6411,80.1852,49.1769,38.3713,3.0,68.9446,45.462,97.9588,0.0,False
50.3463,51.8198,51.8939,61.083,53.0,58.957,55.8312,97.6872,0.0,False
4.9353,73.4019,45.6804,91.8963,11.0,35.3691,14.7586,90.484,0.0,False
14.2493,87.368,85.7603,38.3448,1.0,86.8688,13.579,34.3589,1.0,False
80.1992,79.1462,71.3771,78.6412,41.0,71.2146,26.1523,58.0106,0.0,False
24.6005,21.1251,18.34,61.4884,27.0,99.6893,41.4918,51.6719,0.0,False
71.6293,30.4977,2.1753,22.2475,48.0,92.2842,39.1584,23.4694,1.0,False
47.3848,22.9776,65.6446,24.7689,34.0,41.6979,21.449,24.2118,0.0,False
8.1324,49.96,81.0059,40.4112,14.0,46.2686,57.0539,59.067,1.0,True
25.1899,86.7112,45.9612,13.533,14.0,50.1654,1.3088,84.8929,0.0,False
53.6405,8.7816,67.2952,20.9344,56.0,63.9691,68.2458,40.3149,0.0,False
47.5296,90.2051,69.5044,40.4057,85.0,80.0294,68.223,7.7467,0.0,False
7.8379,35.4824,56.93,46.6958,54.0,77.7166,22.7349,82.6629,1.0,True
97.3868,31.9509,29.4945,42.2027,82.0,30.9717,88.8644,22.3604,0.0,False
14.4434,56.6146,48.8867,47.6686,28.0,0.1115,25.2163,38.9935,1.0,True
66.8818,34.0519,74.747,24.4433,72.0,69.8451,73.7317,28.6129,1.0,True
14.3043,35.9519,97.3902,30.3913,37.0,46.8805,53.9955,53.2629,1.0,True
11.9691,54.3897,58.2175,86.5923,13.0,73.5122,27.3372,78.8791,0.0,False
93.0284,2.6058,27.2104,42.0292,34.0,10.7612,98.5533,78.5367,0.0,False
87.9059,16.7501,80.371,84.0623,63.0,75.2107,0.4031,64.997,1.0,False
97.327,10.5094,82.0748,32.6567,95.0,26.0765,73.5805,20.7492,0.0,False
69.1739,74.9195,45.0388,89.0212,71.0,63.9587,52.4036,24.7606,0.0,True
48.8896,35.8744,1.1783,17.0832,46.0,15.9307,4.3054,55.112,0.0,False
71.0336,87.9881,66.5528,12.565,39.0,73.9909,42.7556,72.964,0.0,False
94.6769,26.7107,57.7478,94.1754,60.0,87.0859,59.7956,15.4189,1.0,False
53.3344,24.5403,52.2324,10.5444,39.0,56.9773,48.6487,14.0495,1.0,True
63.5087,70.8166,48.6449,99.1605,14.0,9.4974,94.7816,92.0643,0.0,False
1.1737,46.9207,47.8211,68.0815,61.0,48.7853,20.2428,38.9809,0.0,True
68.4679,2.9549,19.1009,58.5324,42.0,51.7737,46.7981,65.2446,1.0,False
78.5793,24.6047,68.1559,49.4684,38.0,2.4287,89.2973,30.9055,0.0,True
79.815,23.9125,31.7788,81.0365,99.0,93.6382,79.5019,45.9747,1.0,False
45.361,11.6933,50.2979,57.1162,6.0,61.1093,99.2304,42.7357,1.0,False
82.4898,16.9182,14.0676,30.956,20.0,55.1563,83.1639,90.4174,1.0,False
27.1915,95.8717,4.2668,11.7824,92.0,48.8556,20.3345,53.6192,0.0,False
82.4967,41.516,27.4045,49.2875,56.0,90.7765,40.652,89.0938,1.0,False
94.5358,66.1536,28.2787,95.4941,2.0,45.4902,65.9053,5.6163,1.0,False
82.5976,67.1175,30.3765,74.2616,94.0,14.7519,76.9931,52.0245,1.0,True
80.2902,81.0037,27.0463,25.2106,45.0,41.0034,93.1715,53.1012,0.0,False
90.1742,46.8676,0.9627,41.8606,20.0,86.1619,39.4678,29.4231,1.0,False
89.3199,44.042,62.6186,35.3375,76.0,8.2254,65.2413,82.7825,1.0,True
97.1425,55.4309,85.7521,82.0553,20.0,63.5825,54.8965,28.9669,1.0,False
96.1756,51.9384,22.2778,29.8644,8.0,13.8189,7.7522,85.7246,1.0,False
53.1561,8.5969,67.5195,65.532,33.0,93.8172,45.8139,69.4304,1.0,False
12.9555,6.4428,46.286,90.0058,3.0,4.122,66.3843,37.2256,0.0,False
24.2402,24.1728,84.685,40.6126,49.0,90.435,57.8777,56.5959,1.0,True
75.6486,14.9367,23.0507,85.9657,35.0,95.353,16.5195,0.716,1.0,False
52.1607,68.9762,78.5872,29.0191,91.0,34.1249,36.8029,31.3371,0.0,True
86.7021,24.273,51.3774,67.4178,84.0,80.6717,21.5675,80.9648,0.0,False
19.9085,60.0776,18.1889,38.2468,80.0,68.8999,64.459,7.8299,1.0,True
59.7718,38.9878,52.5744,22.1771,92.0,95.3461,67.0763,39.8916,0.0,False
